OldMunicipality,Young,Working,Elderly
Aizkraukles,1212,5304,1998
Jaunjelgavas,721,3484,1187
Kokneses,760,3399,1056
Neretas,356,2273,774
Pļaviņu,655,3224,1187
Skrīveru,537,2154,815
